stamp_sec,ref_stamp_sec,vib_stamp_sec,x,y,z,roll,pitch,yaw
1784309468.239695549,1784309468.239695549,1784309468.239695549,-0.604178,-0.059080,-0.241267,1.669987,0.237371,1.508535
1784309468.273084402,1784309468.273084402,1784309468.273084402,-0.596978,-0.053738,-0.241520,1.645266,0.228498,1.502264
1784309468.306344032,1784309468.306344032,1784309468.306344032,-0.592309,-0.048670,-0.243855,1.621344,0.217581,1.500590
1784309468.406378508,1784309468.406378508,1784309468.406378508,-0.588079,-0.053986,-0.265313,1.528765,0.227058,1.491268
1784309468.439682722,1784309468.439682722,1784309468.439682722,-0.608328,-0.070885,-0.311634,1.493494,0.249277,1.468976
1784309468.473068237,1784309468.473068237,1784309468.473068237,-0.617900,-0.094056,-0.325237,1.467995,0.283522,1.421590
1784309468.506350756,1784309468.506350756,1784309468.506350756,-0.612478,-0.119422,-0.304360,1.443088,0.309754,1.357563
1784309468.539740801,1784309468.539740801,1784309468.539740801,-0.625560,-0.151310,-0.320761,1.418720,0.366284,1.325853
1784309468.573020697,1784309468.573020697,1784309468.573020697,-0.629079,-0.175604,-0.310274,1.408674,0.417151,1.318781
1784309468.772965193,1784309468.772965193,1784309468.772965193,-0.569860,-0.262779,-0.144820,1.317891,0.682960,1.221350
1784309468.806350708,1784309468.806350708,1784309468.806350708,-0.562750,-0.267657,-0.136592,1.313567,0.701184,1.228580
1784309468.939626217,1784309468.939626217,1784309468.939626217,-0.517688,-0.279916,-0.106943,1.027736,0.567557,0.899652
1784309468.972935677,1784309468.972935677,1784309468.972935677,-0.507636,-0.278027,-0.098348,1.018104,0.572747,0.912935
1784309469.006322861,1784309469.006322861,1784309469.006322861,-0.502949,-0.277194,-0.098113,0.986802,0.537528,0.871665
1784309469.072984934,1784309469.072984934,1784309469.072984934,-0.504272,-0.276052,-0.097587,0.941409,0.476762,0.772535
1784309469.106249571,1784309469.106249571,1784309469.106249571,-0.507933,-0.274592,-0.098558,0.939483,0.472883,0.753728
1784309469.139638186,1784309469.139638186,1784309469.139638186,-0.511523,-0.272001,-0.102765,0.961095,0.458660,0.729642
1784309469.206260443,1784309469.206260443,1784309469.206260443,-0.511223,-0.266426,-0.113642,0.916051,0.423527,0.687664
1784309469.339600801,1784309469.339600801,1784309469.339600801,-0.479250,-0.246611,-0.073992,0.960171,0.605942,0.892329
1784309469.372881174,1784309469.372881174,1784309469.372881174,-0.483102,-0.247712,-0.070972,0.916332,0.616623,0.853926
1784309469.406269073,1784309469.406269073,1784309469.406269073,-0.491558,-0.252235,-0.074364,0.869124,0.604429,0.788848
1784309469.639452696,1784309469.639452696,1784309469.639452696,-0.481997,-0.186312,0.046164,0.382609,0.428969,0.251289
1784309469.672838926,1784309469.672838926,1784309469.672838926,-0.483572,-0.171621,0.056932,0.321454,0.396240,0.191753
1784309469.739489079,1784309469.739489079,1784309469.739489079,-0.484595,-0.141935,0.089932,0.179413,0.295653,0.068049
1784309469.772770405,1784309469.772770405,1784309469.772770405,-0.486726,-0.128176,0.098439,0.102216,0.311129,0.018727
1784309469.806159735,1784309469.806159735,1784309469.806159735,-0.487124,-0.119110,0.105844,0.037286,0.309346,-0.028707
1784309469.872825146,1784309469.872825146,1784309469.872825146,-0.483873,-0.101037,0.130940,-0.048882,0.249454,-0.121177
1784309470.139459610,1784309470.139459610,1784309470.139459610,-0.457357,-0.086779,0.103984,-0.178758,-0.008548,-0.166449
1784309470.172743082,1784309470.172743082,1784309470.172743082,-0.450405,-0.087007,0.095046,-0.166438,-0.008082,-0.159433
1784309470.206128836,1784309470.206128836,1784309470.206128836,-0.444244,-0.087161,0.085241,-0.110839,0.005394,-0.155416
1784309470.239389896,1784309470.239389896,1784309470.239389896,-0.442533,-0.084172,0.077336,-0.097935,-0.040356,-0.137068
1784309470.272776842,1784309470.272776842,1784309470.272776842,-0.439977,-0.084990,0.069604,-0.062577,-0.072922,-0.123386
1784309470.306059361,1784309470.306059361,1784309470.306059361,-0.435857,-0.085205,0.062746,-0.056511,-0.062364,-0.112414
1784309470.372707129,1784309470.372707129,1784309470.372707129,-0.421311,-0.085382,0.059045,-0.015229,0.022408,-0.091566
1784309470.406094551,1784309470.406094551,1784309470.406094551,-0.418873,-0.084818,0.058549,-0.016457,-0.004611,-0.071419
1784309470.539390564,1784309470.539390564,1784309470.539390564,-0.409293,-0.077934,0.058769,-0.024952,0.000391,-0.028851
1784309470.572673798,1784309470.572673798,1784309470.572673798,-0.408811,-0.077564,0.057359,-0.024091,0.013976,-0.027259
1784309470.639320374,1784309470.639320374,1784309470.639320374,-0.407420,-0.077896,0.058969,-0.013257,0.010465,-0.027042
1784309470.672708988,1784309470.672708988,1784309470.672708988,-0.407916,-0.077166,0.059386,-0.020796,0.016030,-0.030949
1784309470.705949068,1784309470.705949068,1784309470.705949068,-0.408937,-0.077503,0.058171,-0.011216,0.008531,-0.036762
1784309470.772638083,1784309470.772638083,1784309470.772638083,-0.411142,-0.076206,0.059722,-0.021744,0.011254,-0.050416
1784309470.806024313,1784309470.806024313,1784309470.806024313,-0.410841,-0.075824,0.061867,-0.022772,0.012133,-0.053282
1784309470.839306831,1784309470.839306831,1784309470.839306831,-0.410974,-0.074594,0.063898,-0.039952,0.007008,-0.053482
1784309470.905976534,1784309470.905976534,1784309470.905976534,-0.409655,-0.073069,0.067039,-0.062107,0.005678,-0.045663
1784309470.939363956,1784309470.939363956,1784309470.939363956,-0.407870,-0.072971,0.068562,-0.065715,-0.004493,-0.035977
1784309470.972624540,1784309470.972624540,1784309470.972624540,-0.405968,-0.073378,0.065494,-0.069222,-0.001650,-0.025144
1784309471.039271832,1784309471.039271832,1784309471.039271832,-0.402770,-0.074223,0.063114,-0.044791,0.014334,-0.011486
1784309471.072661638,1784309471.072661638,1784309471.072661638,-0.402449,-0.074358,0.062549,-0.041122,0.011230,-0.010744
1784309471.105941296,1784309471.105941296,1784309471.105941296,-0.403063,-0.074712,0.063985,-0.031193,0.015934,-0.016297
1784309471.172066450,1784309471.172066450,1784309471.172066450,-0.406735,-0.075033,0.062006,-0.029139,0.011477,-0.030581
1784309471.205453634,1784309471.205453634,1784309471.205453634,-0.407385,-0.074180,0.064344,-0.039617,0.010308,-0.036154
1784309471.238736868,1784309471.238736868,1784309471.238736868,-0.407783,-0.073934,0.064513,-0.045007,0.006459,-0.037657
1784309471.338748693,1784309471.338748693,1784309471.338748693,-0.407493,-0.073221,0.067709,-0.053286,0.011231,-0.036624
1784309471.372034550,1784309471.372034550,1784309471.372034550,-0.407134,-0.073062,0.068196,-0.055974,0.008951,-0.035202
1784309471.405423164,1784309471.405423164,1784309471.405423164,-0.407181,-0.073078,0.066797,-0.056544,0.007836,-0.033650
1784309471.472086906,1784309471.472086906,1784309471.472086906,-0.406722,-0.073152,0.068172,-0.053390,0.011579,-0.033617
1784309471.505327940,1784309471.505327940,1784309471.505327940,-0.406700,-0.073026,0.068747,-0.055381,0.012842,-0.032993
1784309471.538714409,1784309471.538714409,1784309471.538714409,-0.406812,-0.072943,0.067706,-0.054561,0.007554,-0.032650
1784309471.605383158,1784309471.605383158,1784309471.605383158,-0.406907,-0.073307,0.067142,-0.052461,0.006839,-0.032321
1784309471.638668060,1784309471.638668060,1784309471.638668060,-0.406980,-0.073178,0.068025,-0.049897,0.010588,-0.033110
1784309471.705334663,1784309471.705334663,1784309471.705334663,-0.407009,-0.073037,0.067683,-0.054107,0.008157,-0.033015
1784309471.738721848,1784309471.738721848,1784309471.738721848,-0.406901,-0.074087,0.068298,-0.039850,0.012027,-0.033036
1784309471.771985054,1784309471.771985054,1784309471.771985054,-0.407230,-0.073014,0.068090,-0.055381,0.010795,-0.033581
1784309471.838630915,1784309471.838630915,1784309471.838630915,-0.407327,-0.073653,0.068982,-0.044059,0.009908,-0.035229
1784309471.872019291,1784309471.872019291,1784309471.872019291,-0.407773,-0.073216,0.067853,-0.051294,0.006858,-0.035910
1784309471.905299664,1784309471.905299664,1784309471.905299664,-0.407779,-0.073436,0.068115,-0.047612,0.007272,-0.036448
1784309471.971927166,1784309471.971927166,1784309471.971927166,-0.407728,-0.073381,0.067964,-0.048950,0.006575,-0.035719
1784309472.005315065,1784309472.005315065,1784309472.005315065,-0.408035,-0.073381,0.066727,-0.047320,0.004428,-0.036361
1784309472.105244160,1784309472.105244160,1784309472.105244160,-0.408356,-0.073415,0.066865,-0.046198,0.003688,-0.037542
1784309472.138630867,1784309472.138630867,1784309472.138630867,-0.408314,-0.072655,0.068005,-0.053119,0.003395,-0.038551
1784309472.171916246,1784309472.171916246,1784309472.171916246,-0.408629,-0.073196,0.066905,-0.046362,0.003577,-0.039222
1784309472.238582134,1784309472.238582134,1784309472.238582134,-0.408673,-0.072901,0.067592,-0.050516,0.003140,-0.039683
1784309472.271972895,1784309472.271972895,1784309472.271972895,-0.408873,-0.072439,0.066855,-0.057802,0.001497,-0.039932
1784309472.305230856,1784309472.305230856,1784309472.305230856,-0.408733,-0.072929,0.067559,-0.050796,0.004371,-0.039940
1784309472.371857643,1784309472.371857643,1784309472.371857643,-0.408734,-0.072136,0.069532,-0.060928,0.009044,-0.041840
1784309472.405245543,1784309472.405245543,1784309472.405245543,-0.409225,-0.072339,0.068162,-0.056238,0.005280,-0.043251
1784309472.505174637,1784309472.505174637,1784309472.505174637,-0.410256,-0.071425,0.066995,-0.069005,0.001608,-0.045951
1784309472.538561344,1784309472.538561344,1784309472.538561344,-0.409803,-0.071872,0.068899,-0.061717,0.005634,-0.046116
1784309472.571844578,1784309472.571844578,1784309472.571844578,-0.409745,-0.072459,0.070018,-0.054810,0.009731,-0.046367
1784309472.605230570,1784309472.605230570,1784309472.605230570,-0.410288,-0.071798,0.067869,-0.062785,0.003909,-0.047756
1784309472.638512850,1784309472.638512850,1784309472.638512850,-0.409991,-0.071555,0.070799,-0.062340,0.010048,-0.049724
1784309472.805154085,1784309472.805154085,1784309472.805154085,-0.410996,-0.071668,0.071659,-0.060117,0.008694,-0.053563
1784309472.838458300,1784309472.838458300,1784309472.838458300,-0.411045,-0.071522,0.072419,-0.062488,0.012002,-0.054146
1784309472.871844053,1784309472.871844053,1784309472.871844053,-0.411629,-0.071212,0.070562,-0.066333,0.004939,-0.054695
1784309472.905105352,1784309472.905105352,1784309472.905105352,-0.411705,-0.071411,0.071331,-0.062124,0.006041,-0.055429
1784309472.938493013,1784309472.938493013,1784309472.938493013,-0.411878,-0.071421,0.071995,-0.062324,0.008185,-0.056557
1784309472.971755743,1784309472.971755743,1784309472.971755743,-0.411879,-0.071588,0.072809,-0.059127,0.010510,-0.057507
1784309473.038401365,1784309473.038401365,1784309473.038401365,-0.412058,-0.071053,0.070709,-0.063686,0.002673,-0.056761
1784309473.071788549,1784309473.071788549,1784309473.071788549,-0.411898,-0.071007,0.071940,-0.063716,0.006208,-0.056676
1784309473.105071306,1784309473.105071306,1784309473.105071306,-0.412168,-0.071056,0.071148,-0.064148,0.003648,-0.057267
1784309473.171718597,1784309473.171718597,1784309473.171718597,-0.412452,-0.071074,0.070764,-0.064612,0.004852,-0.058420
1784309473.205105782,1784309473.205105782,1784309473.205105782,-0.412331,-0.071050,0.071459,-0.063531,0.004999,-0.058446
1784309473.305035830,1784309473.305035830,1784309473.305035830,-0.412572,-0.071074,0.071415,-0.061659,0.004448,-0.059582
1784309473.338428259,1784309473.338428259,1784309473.338428259,-0.412599,-0.070952,0.071743,-0.064249,0.006298,-0.060064
